example_id,seed,task,sequence_length,reference_delta,target_deltas,target_rule,phasewrap_rope_8_12_first_relevant_rank,phasewrap_rope_8_12_target_probability_mass,rope_relative_first_relevant_rank,rope_relative_target_probability_mass,alibi_first_relevant_rank,alibi_target_probability_mass,sinusoidal_first_relevant_rank,sinusoidal_target_probability_mass,no_position_first_relevant_rank,no_position_target_probability_mass
aggregation_seed401_L256_001,401,aggregation,256,241,241;252,two explicit offsets selected by the aggregation packet generator,10,0.0616904,1,0.19617039,12,0.07921389,1,0.23267552,1,0.1370109
passkey_exact_seed401_L256_002,401,passkey_exact,256,158,158,exact passkey offset chosen by RNG and exposed as the query offset,8,0.02134343,1,0.13440149,7,0.07515163,1,0.14832998,5,0.08617112
multi_needle_seed401_L256_002,401,multi_needle,256,95,95,third same-token occurrence in increasing delta order,7,0.02316495,1,0.12774388,3,0.09447667,1,0.14530637,10,0.07935036
aggregation_seed401_L256_002,401,aggregation,256,226,226;249,two explicit offsets selected by the aggregation packet generator,6,0.085765,1,0.18608289,13,0.08748472,1,0.18894901,1,0.1370109
passkey_exact_seed401_L256_003,401,passkey_exact,256,89,89,exact passkey offset chosen by RNG and exposed as the query offset,6,0.02579617,1,0.13451094,6,0.08882497,1,0.14673399,6,0.08617112
multi_needle_seed401_L256_003,401,multi_needle,256,52,52,third same-token occurrence in increasing delta order,5,0.02266623,1,0.13299338,3,0.10483367,1,0.14806082,10,0.07935036
aggregation_seed401_L256_003,401,aggregation,256,79,79;89,two explicit offsets selected by the aggregation packet generator,6,0.04732227,1,0.18259798,4,0.15643789,1,0.18548616,10,0.1370109
passkey_exact_seed401_L512_000,401,passkey_exact,512,145,145,exact passkey offset chosen by RNG and exposed as the query offset,9,0.02359961,1,0.09348903,6,0.06230507,1,0.11377392,12,0.05487118
multi_needle_seed401_L512_000,401,multi_needle,512,64,64,third same-token occurrence in increasing delta order,10,0.01970945,1,0.0895791,3,0.06880056,1,0.10914091,16,0.05202366
aggregation_seed401_L512_000,401,aggregation,512,493,493;508,two explicit offsets selected by the aggregation packet generator,9,0.04170475,1,0.14233229,18,0.06098286,1,0.16954922,1,0.09891419
passkey_exact_seed401_L512_001,401,passkey_exact,512,350,350,exact passkey offset chosen by RNG and exposed as the query offset,11,0.01615429,1,0.0975119,14,0.04093918,1,0.12308503,4,0.05487118
multi_needle_seed401_L512_001,401,multi_needle,512,126,126,third same-token occurrence in increasing delta order,9,0.03472163,1,0.09385382,3,0.06922712,1,0.11669302,16,0.05202366
aggregation_seed401_L512_001,401,aggregation,512,394,394;413,two explicit offsets selected by the aggregation packet generator,1,0.17404321,1,0.1429288,13,0.07106135,1,0.17042671,4,0.09891419
passkey_exact_seed401_L512_002,401,passkey_exact,512,320,320,exact passkey offset chosen by RNG and exposed as the query offset,10,0.02131565,1,0.09435444,10,0.04868398,1,0.112417,8,0.05487118
multi_needle_seed401_L512_002,401,multi_needle,512,67,67,third same-token occurrence in increasing delta order,6,0.02793582,1,0.09258726,3,0.06750612,1,0.10991365,16,0.05202366
aggregation_seed401_L512_002,401,aggregation,512,336,336;392,two explicit offsets selected by the aggregation packet generator,9,0.03353795,1,0.13391881,8,0.08322729,1,0.14338969,5,0.09891419
passkey_exact_seed401_L512_003,401,passkey_exact,512,161,161,exact passkey offset chosen by RNG and exposed as the query offset,11,0.02199204,1,0.09125878,8,0.06084315,1,0.11097284,10,0.05487118
multi_needle_seed401_L512_003,401,multi_needle,512,153,153,third same-token occurrence in increasing delta order,11,0.02303157,1,0.09158053,3,0.06955993,1,0.11189219,16,0.05202366
aggregation_seed401_L512_003,401,aggregation,512,154,154;211,two explicit offsets selected by the aggregation packet generator,11,0.03045781,1,0.13931242,7,0.10816847,1,0.16385612,11,0.09891419
passkey_exact_seed401_L1024_000,401,passkey_exact,1024,286,286,exact passkey offset chosen by RNG and exposed as the query offset,17,0.01063755,1,0.05256113,10,0.03320704,1,0.06411531,24,0.02820559
multi_needle_seed401_L1024_000,401,multi_needle,1024,162,162,third same-token occurrence in increasing delta order,21,0.00892721,1,0.04925768,3,0.03464203,1,0.06207377,34,0.02601015
aggregation_seed401_L1024_000,401,aggregation,1024,677,677;797,two explicit offsets selected by the aggregation packet generator,18,0.01527052,1,0.08123115,21,0.04204863,1,0.0847016,12,0.0520203
passkey_exact_seed401_L1024_001,401,passkey_exact,1024,347,347,exact passkey offset chosen by RNG and exposed as the query offset,19,0.00910458,1,0.05153995,8,0.03332452,1,0.06313108,26,0.02820559
multi_needle_seed401_L1024_001,401,multi_needle,1024,104,104,third same-token occurrence in increasing delta order,16,0.01022689,1,0.04992336,3,0.03658033,1,0.06268577,34,0.02601015
aggregation_seed401_L1024_001,401,aggregation,1024,607,607;708,two explicit offsets selected by the aggregation packet generator,3,0.10061907,1,0.07998266,22,0.04258688,1,0.08939422,9,0.0520203
passkey_exact_seed401_L1024_002,401,passkey_exact,1024,738,738,exact passkey offset chosen by RNG and exposed as the query offset,21,0.00670223,1,0.05428165,23,0.02133461,1,0.06671253,11,0.02820559
multi_needle_seed401_L1024_002,401,multi_needle,1024,235,235,third same-token occurrence in increasing delta order,21,0.00879242,1,0.04925098,3,0.03545206,1,0.06326665,34,0.02601015
aggregation_seed401_L1024_002,401,aggregation,1024,656,656;737,two explicit offsets selected by the aggregation packet generator,17,0.0220667,1,0.07995543,23,0.04249543,1,0.09136581,11,0.0520203
passkey_exact_seed401_L1024_003,401,passkey_exact,1024,454,454,exact passkey offset chosen by RNG and exposed as the query offset,17,0.01039542,1,0.05381177,17,0.0268253,1,0.06483332,17,0.02820559
multi_needle_seed401_L1024_003,401,multi_needle,1024,70,70,third same-token occurrence in increasing delta order,22,0.00675061,1,0.04975937,3,0.03760426,1,0.06429308,34,0.02601015
aggregation_seed401_L1024_003,401,aggregation,1024,316,316;393,two explicit offsets selected by the aggregation packet generator,4,0.09268829,1,0.07945773,15,0.0557973,1,0.09544819,19,0.0520203
passkey_exact_seed409_L128_000,409,passkey_exact,128,34,34,exact passkey offset chosen by RNG and exposed as the query offset,8,0.02833052,1,0.13620197,3,0.10930523,1,0.1507292,9,0.0885933
